OBJECTID,Stop_Number,Stop_Description,Shelter,Boarding_Allowed,Debarking_Allowed,Express_Stop,Accessible,Routes_Service,District,Zone,Latitude,Longitude,Effective_Date,x,y
13,24,TOURS RD at WINDWOOD DR,0,1,1,0,1,10/313,MEADOWVALE,TRAFFIC ZONE 116,43.575569,-79.74901,2025/09/01,-79.7490099999999,43.575569
14,25,MCLAUGHLIN RD south of BRITANNIA RD,0,1,1,0,1,66,GATEWAY,TRAFFIC ZONE 8,43.616293,-79.689595,2025/09/01,-79.6895949999999,43.616293
15,26,MATHESON BLVD at WHITTLE RD,0,1,1,0,1,43,GATEWAY,TRAFFIC ZONE 90,43.62112,-79.667701,2025/09/01,-79.667701,43.6211200000001
16,27,MATHESON BLVD east of WHITTLE RD,0,1,1,0,1,43,GATEWAY,TRAFFIC ZONE 90,43.622389,-79.663918,2025/09/01,-79.663918,43.6223890000001
17,28,MATHESON BLVD at 267 MATHESON BLVD,0,1,1,0,1,43,GATEWAY,TRAFFIC ZONE 90,43.622733,-79.66184,2025/09/01,-79.66184,43.622733
18,29,MATHESON BLVD at MCADAM RD,0,1,1,0,1,43,GATEWAY,TRAFFIC ZONE 90,43.624168,-79.658239,2025/09/01,-79.658239,43.6241680000001
19,30,MATHESON BLVD at KENNEDY RD,0,1,1,0,1,43,HURONTARIO,TRAFFIC ZONE 90,43.625811,-79.655513,2025/09/01,-79.655513,43.625811
20,31,MATHESON BLVD at TIMBERLEA BLVD,0,1,1,0,1,39/43,NORTHEAST 1,TRAFFIC ZONE 100,43.631449,-79.644987,2025/09/01,-79.644987,43.631449
21,32,MATHESON BLVD at AMBLER DR,0,1,1,0,1,39/43,NORTHEAST 1,TRAFFIC ZONE 100,43.639994,-79.632917,2025/09/01,-79.632917,43.6399940000001
22,33,MATHESON BLVD at DIXIE RD,0,1,1,0,1,39/43,NORTHEAST 1,TRAFFIC ZONE 100,43.642188,-79.630413,2025/09/01,-79.630413,43.642188
23,34,MATHESON BLVD at MATHESON BLVD,0,1,1,0,1,39/43,NORTHEAST 1,TRAFFIC ZONE 101,43.643498,-79.628548,2025/09/01,-79.628548,43.6434980000001
24,35,SPECTRUM STATION EAST PLATFORM A,0,1,1,0,1,107/109,AIRPORT CORPORATE,TRAFFIC ZONE 5,43.649807,-79.605578,2025/09/01,-79.605578,43.6498070000001
25,36,SPECTRUM STATION WEST PLATFORM B,0,1,1,0,1,107/109,AIRPORT CORPORATE,TRAFFIC ZONE 5,43.649555,-79.606183,2025/09/01,-79.606183,43.6495550000001
26,37,MATHESON BLVD at SPECTRUM WAY,1,1,1,0,1,7/39/43,AIRPORT CORPORATE,TRAFFIC ZONE 5,43.652174,-79.611796,2025/09/01,-79.611796,43.6521740000001
27,38,CREEKBANK RD at MATHESON BLVD,0,1,1,0,1,7/74,NORTHEAST 1,TRAFFIC ZONE 101,43.648592,-79.620893,2025/09/01,-79.620893,43.6485920000001
28,39,MATHESON BLVD at WEST EXPLORER DR,0,1,1,0,1,7/39/43,AIRPORT CORPORATE,TRAFFIC ZONE 5,43.651994,-79.615557,2025/09/01,-79.615557,43.6519940000001
29,40,MATHESON BLVD at SPECTRUM WAY,1,1,1,0,1,7/39/43,AIRPORT CORPORATE,TRAFFIC ZONE 5,43.651973,-79.612358,2025/09/01,-79.612358,43.651973
30,41,MATHESON BLVD at SOLAR DR,0,1,1,0,1,7/39/43,AIRPORT CORPORATE,TRAFFIC ZONE 5,43.652685,-79.609409,2025/09/01,-79.609409,43.6526850000001
31,42,MATHESON BLVD at SATELLITE DR,0,1,1,0,1,7/39/43,AIRPORT CORPORATE,TRAFFIC ZONE 5,43.654645,-79.607671,2025/09/01,-79.607671,43.6546450000001
32,43,MATHESON BLVD at SHUTTLE DR,1,1,1,0,1,7/39/43,AIRPORT CORPORATE,TRAFFIC ZONE 102,43.660344,-79.600903,2025/09/01,-79.600903,43.6603440000001
33,44,MATHESON BLVD at EAST EXPLORER DR,1,1,1,0,1,7/39/43,AIRPORT CORPORATE,TRAFFIC ZONE 102,43.66253,-79.598496,2025/09/01,-79.598496,43.6625300000001
34,45,MATHESON BLVD at BRADCO BLVD,0,1,1,0,1,39/43/73,NORTHEAST 1,TRAFFIC ZONE 9,43.638257,-79.635178,2025/09/01,-79.6351779999999,43.6382570000001
35,46,MATHESON BLVD at MAINGATE DR,0,1,1,0,1,39/43,NORTHEAST 1,TRAFFIC ZONE 9,43.636372,-79.637214,2025/09/01,-79.637214,43.636372
36,47,CREEKBANK RD at MATHESON BLVD,0,1,1,0,1,7/74,NORTHEAST 1,TRAFFIC ZONE 101,43.648193,-79.620629,2025/09/01,-79.620629,43.648193
37,48,MATHESON BLVD at FALBOURNE ST,0,1,1,0,1,25/43,GATEWAY,TRAFFIC ZONE 8,43.615314,-79.680446,2025/09/01,-79.6804459999999,43.6153140000001
38,49,LISGAR DR at DERRY RD,1,1,1,0,1,39,LISGAR,TRAFFIC ZONE 16,43.576887,-79.783746,2025/09/01,-79.783746,43.5768870000001
39,50,MATHESON BLVD at TOMKEN RD,1,1,1,0,1,39/43,NORTHEAST 1,TRAFFIC ZONE 9,43.633638,-79.641318,2025/09/01,-79.641318,43.6336380000001
40,51,MATHESON BLVD at KENNEDY RD,0,1,1,0,1,39/43,GATEWAY,TRAFFIC ZONE 93,43.626301,-79.655306,2025/09/01,-79.6553059999999,43.6263010000001
41,52,MATHESON BLVD at MCADAM RD,0,1,1,0,1,43,GATEWAY,TRAFFIC ZONE 93,43.62472,-79.657681,2025/09/01,-79.657681,43.62472
42,53,MATHESON BLVD at MCLAUGHLIN RD,0,1,1,0,1,43,GATEWAY,TRAFFIC ZONE 92,43.613012,-79.684585,2025/09/01,-79.684585,43.613012
43,54,BRITANNIA RD at ELLESBORO DR,0,1,1,0,1,10/39/43/306,STREETSVILLE,TRAFFIC ZONE 115,43.590026,-79.720153,2025/09/01,-79.720153,43.5900260000001
44,57,ERIN CENTRE BLVD west of ERIN MILLS PKY,0,1,1,0,1,9/48,CENTRAL ERIN MILLS,TRAFFIC ZONE 2,43.561061,-79.712595,2025/09/01,-79.712595,43.561061
45,58,ERIN CENTRE BLVD west of ERIN MILLS PKY,0,1,1,0,1,9/13/48,CENTRAL ERIN MILLS,TRAFFIC ZONE 1,43.560682,-79.713187,2025/09/01,-79.7131869999999,43.560682
46,59,MISSISSAUGA VALLEY BLVD north of CENTRAL PKY,1,1,1,0,1,3/53,MISSISSAUGA VALLEYS,TRAFFIC ZONE 68,43.591651,-79.626864,2025/09/01,-79.626864,43.5916510000001
47,62,FINANCIAL DR at DERRY RD,1,1,1,0,1,108,MEADOWVALE BUSINESS PARK,TRAFFIC ZONE 18,43.611995,-79.749617,2025/09/01,-79.7496169999999,43.611995
48,63,FALBOURNE ST at 5875 FALBOURNE ST,0,1,1,0,1,25/70,GATEWAY,TRAFFIC ZONE 8,43.617673,-79.681237,2025/09/01,-79.681237,43.617673
49,64,FALBOURNE ST at BRITANNIA RD,0,1,1,0,1,25/70,GATEWAY,TRAFFIC ZONE 8,43.620104,-79.685063,2025/09/01,-79.685063,43.620104
50,66,ELM DR east of HURONTARIO ST,1,1,1,0,1,3/8,FAIRVIEW,TRAFFIC ZONE 72,43.59121,-79.63064,2025/09/01,-79.63064,43.5912100000001
51,67,BRITANNIA RD at ELLESBORO DR,0,1,1,0,1,10/39/43/306,STREETSVILLE,TRAFFIC ZONE 118,43.590385,-79.720169,2025/09/01,-79.7201689999999,43.590385
52,68,ELM DR at OBELISK WAY,0,1,1,0,1,3/8,MISSISSAUGA VALLEYS,TRAFFIC ZONE 58,43.591816,-79.629375,2025/09/01,-79.629375,43.591816
53,69,ELM DR at HURONTARIO ST,1,1,1,0,1,3/8,MISSISSAUGA VALLEYS,TRAFFIC ZONE 58,43.591134,-79.6311,2025/09/01,-79.6310999999999,43.5911340000001
54,70,ELM DR at KARIYA DR,1,1,1,0,1,3/8,CITY CENTRE,TRAFFIC ZONE 72,43.589207,-79.633337,2025/09/01,-79.633337,43.589207
55,71,CONFEDERATION PKY at PAISLEY BLVD,0,1,1,0,1,28,COOKSVILLE,TRAFFIC ZONE 57,43.573831,-79.61408,2025/09/01,-79.6140799999999,43.573831
56,72,TOURS RD at WINDWOOD DR,0,1,1,0,1,10/313,MEADOWVALE,TRAFFIC ZONE 116,43.575693,-79.749019,2025/09/01,-79.749019,43.5756930000001
57,73,TOURS RD at WINSTON CHURCHILL BLVD,0,1,1,0,1,10/313,MEADOWVALE,TRAFFIC ZONE 116,43.574233,-79.75134,2025/09/01,-79.75134,43.574233
58,74,KARIYA DR at NORTH ENFIELD PL,1,1,1,0,1,3/8,CITY CENTRE,TRAFFIC ZONE 72,43.590791,-79.637042,2025/09/01,-79.6370419999999,43.5907910000001
59,75,KARIYA DR at SOUTH ENFIELD PL,1,1,1,0,1,3/8,FAIRVIEW,TRAFFIC ZONE 72,43.589811,-79.635664,2025/09/01,-79.635664,43.5898110000001
60,76,ELM DR east of KARIYA DR,0,1,1,0,1,3/8,FAIRVIEW,TRAFFIC ZONE 72,43.589612,-79.632572,2025/09/01,-79.632572,43.589612
61,78,ELM DR at MISSISSAUGA VALLEY BLVD,1,1,1,0,1,3,MISSISSAUGA VALLEYS,TRAFFIC ZONE 58,43.592219,-79.628437,2025/09/01,-79.628437,43.592219
62,79,MATHESON BLVD at WEST EXPLORER DR,0,1,1,0,1,7/39/43,AIRPORT CORPORATE,TRAFFIC ZONE 5,43.652246,-79.614795,2025/09/01,-79.614795,43.652246
63,80,MATHESON BLVD at TIMBERLEA BLVD,1,1,1,0,1,39/43,NORTHEAST 1,TRAFFIC ZONE 9,43.631824,-79.644767,2025/09/01,-79.6447669999999,43.631824
64,81,LISGAR DR at BEACHAM ST,0,1,1,0,1,39,LISGAR,TRAFFIC ZONE 15,43.571236,-79.778176,2025/09/01,-79.778176,43.571236
65,82,LISGAR DR at DILLINGWOOD DR,1,1,1,0,1,39,LISGAR,TRAFFIC ZONE 16,43.576122,-79.782907,2025/09/01,-79.782907,43.576122
66,83,LISGAR DR at YARROW AVE,0,1,1,0,1,39,LISGAR,TRAFFIC ZONE 16,43.573771,-79.780317,2025/09/01,-79.780317,43.5737710000001
67,85,CITY CENTRE TRANSIT TERMINAL PLATFORM L,1,1,1,0,1,26/110,CITY CENTRE,TRAFFIC ZONE 79,43.593731,-79.647476,2025/09/01,-79.647476,43.593731
68,87,MAVIS RD at COURTNEYPARK DR,1,1,1,0,1,61,MEADOWVALE VILLAGE,TRAFFIC ZONE 97,43.623801,-79.711618,2025/09/01,-79.711618,43.6238010000001
69,88,LISGAR DR at BERRYMAN TRAIL,0,1,1,0,1,39,LISGAR,TRAFFIC ZONE 15,43.57023,-79.777565,2025/09/01,-79.777565,43.57023
70,91,DERRY RD at FOREST PARK DR,1,1,1,0,1,39,LISGAR,TRAFFIC ZONE 16,43.581178,-79.779077,2025/09/01,-79.779077,43.5811780000001
71,92,DERRY RD east of TENTH LINE,1,1,1,0,1,39/90,LISGAR,TRAFFIC ZONE 38,43.584007,-79.775987,2025/09/01,-79.775987,43.584007
72,93,WINSTON CHURCHILL BLVD at VANDERBILT RD,1,1,1,0,1,38/39/43/90,MEADOWVALE,TRAFFIC ZONE 38,43.584867,-79.766725,2025/09/01,-79.766725,43.584867
73,94,TOURS RD at MILLERS GROVE,0,1,1,0,1,10/313,MEADOWVALE,TRAFFIC ZONE 37,43.571842,-79.754993,2025/09/01,-79.754993,43.5718420000001
74,95,HURONTARIO ST at ANNAGEM BLVD,0,1,1,0,1,17,GATEWAY,TRAFFIC ZONE 96,43.63565,-79.691803,2025/09/01,-79.6918029999999,43.63565
75,96,HURONTARIO ST at COURTNEYPARK DR,1,1,1,0,1,17/103,GATEWAY,TRAFFIC ZONE 21,43.637836,-79.694768,2025/09/01,-79.6947679999999,43.637836
76,97,HURONTARIO ST at COURTNEYPARK DR,1,1,1,0,1,17/103,GATEWAY,TRAFFIC ZONE 20,43.637239,-79.69457,2025/09/01,-79.6945699999999,43.6372390000001
77,98,HURONTARIO ST south of PROLOGIS BLVD,1,1,1,0,1,17,GATEWAY,TRAFFIC ZONE 97,43.634871,-79.691398,2025/09/01,-79.6913979999999,43.634871
78,99,MEADOWVALE BLVD at TOTTINGTON DR,0,1,1,0,1,108,MEADOWVALE VILLAGE,TRAFFIC ZONE 18,43.615147,-79.748821,2025/09/01,-79.748821,43.615147
79,100,CLARKSON GO STATION PLATFORM 9,0,1,1,0,1,110,,TRAFFIC ZONE 39,43.512562,-79.633058,2025/09/01,-79.6330579999999,43.5125620000001
80,101,CLARKSON GO STATION PLATFORM 4,1,1,1,0,1,13,CLARKSON - LORNE PARK,TRAFFIC ZONE 39,43.512818,-79.632805,2025/09/01,-79.632805,43.512818
81,103,SOUTHDOWN RD at SOUTH SHERIDAN WAY,0,1,1,0,1,13/29/45,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.521719,-79.644571,2025/09/01,-79.644571,43.5217190000001
82,104,SOUTHDOWN RD at TRUSCOTT DR,1,1,1,0,1,13/14/45/110,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.518647,-79.640408,2025/09/01,-79.640408,43.518647
83,105,SOUTHDOWN RD at WISEMAN CRT,1,1,1,0,1,13/14/45,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.516098,-79.636848,2025/09/01,-79.636848,43.5160980000001
84,106,SOUTHDOWN RD at BROMSGROVE RD,1,1,1,0,1,13/14/29/45/110,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.51441,-79.634607,2025/09/01,-79.634607,43.5144100000001
85,108,BROMSGROVE RD at 2150 BROMSGROVE RD,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.512203,-79.637785,2025/09/01,-79.637785,43.512203
86,109,BROMSGROVE RD east of SEAGULL DR,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.509354,-79.639668,2025/09/01,-79.639668,43.509354
87,110,BROMSGROVE RD east of TREADMORE DR,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.507697,-79.643466,2025/09/01,-79.643466,43.5076970000001
88,111,BROMSGROVE RD at TREDMORE DR,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.506006,-79.645174,2025/09/01,-79.6451739999999,43.5060060000001
89,112,BROMSGROVE RD at PLAYFORD RD,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.504546,-79.646592,2025/09/01,-79.6465919999999,43.5045460000001
90,113,BROMSGROVE RD at CRAMER ST,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.501793,-79.649783,2025/09/01,-79.649783,43.5017930000001
91,114,WINSTON CHURCHILL BLVD south of KINGSWAY DR,0,1,1,0,1,29/45,OAKVILLE,TRAFFIC ZONE 21,43.503921,-79.656118,2025/09/01,-79.6561179999999,43.503921
92,115,BROMSGROVE RD at SEAGULL DR,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.508683,-79.642318,2025/09/01,-79.642318,43.5086830000001
93,116,TRUSCOTT DR at BUCKBY RD,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.508275,-79.653535,2025/09/01,-79.653535,43.508275
94,117,TRUSCOTT DR at SANDGATE CRES,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.509486,-79.650106,2025/09/01,-79.6501059999999,43.509486
95,118,TRUSCOTT DR west of SEAGULL DR,1,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.511556,-79.648476,2025/09/01,-79.648476,43.511556
96,119,TRUSCOTT DR at BODMIN RD,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.513141,-79.646251,2025/09/01,-79.646251,43.5131410000001
97,120,TRUSCOTT DR at LEWISHAM DR,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.515299,-79.643872,2025/09/01,-79.643872,43.515299
98,121,TRUSCOTT DR at THETFORD CRT,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.518529,-79.641949,2025/09/01,-79.641949,43.5185290000001
99,122,TRUSCOTT DR at THETFORD CRT,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.518571,-79.641676,2025/09/01,-79.641676,43.5185710000001
100,123,TRUSCOTT DR at LEWISHAM DR,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.51502,-79.643892,2025/09/01,-79.6438919999999,43.51502
101,124,TRUSCOTT DR at BODMIN RD,1,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.512257,-79.64684,2025/09/01,-79.6468399999999,43.512257
102,125,TRUSCOTT DR east of BUCKBY RD,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.509034,-79.650661,2025/09/01,-79.650661,43.509034
103,126,TRUSCOTT DR east of KELLY RD,1,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.511151,-79.64851,2025/09/01,-79.64851,43.511151
104,127,TRUSCOTT DR at BUCKBY RD,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.508104,-79.653502,2025/09/01,-79.6535019999999,43.5081040000001
105,128,TRUSCOTT DR east of WINSTON CHURCHILL BLVD,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.505701,-79.65744,2025/09/01,-79.6574399999999,43.505701
106,129,WINSTON CHURCHILL BLVD at STOCKHOLM RD,0,1,1,0,1,29/45,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.502944,-79.654303,2025/09/01,-79.654303,43.5029440000001
107,130,BROMSGROVE RD at CRAMER ST,1,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.502045,-79.649777,2025/09/01,-79.649777,43.5020450000001
108,131,BROMSGROVE RD at PLAYFORD RD,1,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.504771,-79.646506,2025/09/01,-79.646506,43.5047710000001
109,132,BROMSGROVE RD east of TREDMORE DR,1,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.506623,-79.644801,2025/09/01,-79.644801,43.506623
110,133,BROMSGROVE RD at SEAGULL DR,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.508888,-79.642177,2025/09/01,-79.6421769999999,43.5088880000001
111,135,BROMSGROVE RD at 2170 BROMSGROVE RD,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.512492,-79.637803,2025/09/01,-79.637803,43.5124920000001
112,136,BROMSGROVE RD west of SOUTHDOWN RD,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.514407,-79.63609,2025/09/01,-79.63609,43.514407
113,137,TRUSCOTT DR at WINSTON CHURCHILL BLVD,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.50581,-79.657573,2025/09/01,-79.657573,43.50581
114,138,TRUSCOTT DR at LOCKHART RD,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.507508,-79.655705,2025/09/01,-79.6557049999999,43.507508
115,139,CLARKSON GO STATION PLATFORM 7,0,1,1,0,1,23,,TRAFFIC ZONE 39,43.512961,-79.633382,2025/09/01,-79.633382,43.5129610000001
116,141,BROMSGROVE RD at 2252 BROMSGROVE RD,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 45,43.509649,-79.639537,2025/09/01,-79.639537,43.5096490000001
117,142,BROMSGROVE RD at WINSTON CHURCHILL BLVD,0,1,1,0,1,29,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.500844,-79.651053,2025/09/01,-79.6510529999999,43.500844
118,143,WINSTON CHURCHILL BLVD at STOCKHOLM RD,0,1,1,0,1,29/45,OAKVILLE,TRAFFIC ZONE 21,43.503096,-79.654949,2025/09/01,-79.654949,43.503096
119,144,WINSTON CHURCHILL BLVD at TRUSCOTT DR,1,1,1,0,1,29/45,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.50537,-79.657632,2025/09/01,-79.657632,43.50537
120,146,GLEN ERIN DR at ROGERS RD,0,1,1,0,1,13,ERIN MILLS,TRAFFIC ZONE 76,43.543509,-79.691779,2025/09/01,-79.6917789999999,43.543509
121,147,GLEN ERIN DR at ROLLING VALLEY DR,0,1,1,0,1,13,ERIN MILLS,TRAFFIC ZONE 76,43.545891,-79.695534,2025/09/01,-79.695534,43.545891
122,148,GLEN ERIN DR at FOLKWAY DR,1,1,1,0,1,13,ERIN MILLS,TRAFFIC ZONE 76,43.54727,-79.699237,2025/09/01,-79.699237,43.54727
123,149,DUNDAS ST at CLAYHILL RD,1,1,1,0,1,1/38,COOKSVILLE,TRAFFIC ZONE 65,43.570863,-79.627636,2025/09/01,-79.6276359999999,43.570863
124,150,WINSTON CHURCHILL BLVD north of STOCKHOLM RD,0,1,1,0,1,29/45,CLARKSON - LORNE PARK,TRAFFIC ZONE 14,43.504144,-79.656002,2025/09/01,-79.6560019999999,43.504144
125,153,GLEN ERIN DR north of ERIN CENTRE BLVD,1,1,1,0,1,13,CENTRAL ERIN MILLS,TRAFFIC ZONE 2,43.558326,-79.718264,2025/09/01,-79.718264,43.5583260000001
126,154,GLEN ERIN DR at MIDDLEBURY DR,0,1,1,0,1,13,CENTRAL ERIN MILLS,TRAFFIC ZONE 2,43.560325,-79.720711,2025/09/01,-79.7207109999999,43.560325
127,155,GLEN ERIN DR at BURNFORD TRAIL,0,1,1,0,1,13,CENTRAL ERIN MILLS,TRAFFIC ZONE 2,43.562574,-79.722892,2025/09/01,-79.722892,43.562574
128,156,GLEN ERIN DR north of BURNFORD TRAIL,0,1,1,0,1,13,CENTRAL ERIN MILLS,TRAFFIC ZONE 2,43.564171,-79.725644,2025/09/01,-79.725644,43.564171
129,157,GLEN ERIN DR north of THOMAS ST,0,1,1,0,1,13,STREETSVILLE,TRAFFIC ZONE 114,43.566372,-79.729288,2025/09/01,-79.7292879999999,43.5663720000001
130,160,GLEN ERIN DR at FOLKWAY DR,1,1,1,0,1,13,ERIN MILLS,TRAFFIC ZONE 76,43.547222,-79.699795,2025/09/01,-79.6997949999999,43.547222
131,161,GLEN ERIN DR south of ROLLING VALLEY DR,0,1,1,0,1,13,ERIN MILLS,TRAFFIC ZONE 76,43.545011,-79.694569,2025/09/01,-79.6945689999999,43.545011
132,162,GLEN ERIN DR at ROMARK MEWS WALKWAY,0,1,1,0,1,13,ERIN MILLS,TRAFFIC ZONE 76,43.544368,-79.693467,2025/09/01,-79.6934669999999,43.5443680000001
133,177,KENNEDY RD at MATHESON BLVD,0,1,1,0,1,53,HURONTARIO,TRAFFIC ZONE 90,43.625958,-79.655026,2025/09/01,-79.655026,43.625958
134,178,KENNEDY RD at COOPERS AVE,1,1,1,0,1,39/53,GATEWAY,TRAFFIC ZONE 93,43.631036,-79.661929,2025/09/01,-79.661929,43.631036
135,179,KENNEDY RD at COOPERS AVE,1,1,1,0,1,53,GATEWAY,TRAFFIC ZONE 93,43.634128,-79.666075,2025/09/01,-79.666075,43.634128
136,180,KENNEDY RD at ABILENE DR,0,1,1,0,1,53,GATEWAY,TRAFFIC ZONE 96,43.63795,-79.671136,2025/09/01,-79.671136,43.63795
137,181,KENNEDY RD at OTTO RD,0,1,1,0,1,53,GATEWAY,TRAFFIC ZONE 96,43.643063,-79.677941,2025/09/01,-79.677941,43.643063
138,182,KENNEDY RD at COURTNEYPARK DR,0,1,1,0,1,53,GATEWAY,TRAFFIC ZONE 96,43.647654,-79.684127,2025/09/01,-79.684127,43.647654
139,190,HURONTARIO ST at BARONDALE DR,1,1,1,0,1,17,HURONTARIO,TRAFFIC ZONE 90,43.61691,-79.666654,2025/09/01,-79.6666539999999,43.6169100000001
140,191,HURONTARIO ST at BARONDALE DR,1,1,1,0,1,17,HURONTARIO,TRAFFIC ZONE 92,43.616925,-79.667137,2025/09/01,-79.667137,43.616925
141,193,KENNEDY RD at COURTNEYPARK DR,1,1,1,0,1,53,GATEWAY,TRAFFIC ZONE 21,43.647833,-79.684805,2025/09/01,-79.684805,43.6478330000001
142,194,KENNEDY RD at PENDANT DR,1,1,1,0,1,53,GATEWAY,TRAFFIC ZONE 96,43.643159,-79.678522,2025/09/01,-79.678522,43.643159
143,196,KENNEDY RD at BRITANNIA RD,0,1,1,0,1,53,GATEWAY,TRAFFIC ZONE 93,43.634261,-79.66668,2025/09/01,-79.66668,43.634261
144,197,KENNEDY RD at MATHESON BLVD,1,1,1,0,1,53,GATEWAY,TRAFFIC ZONE 93,43.626174,-79.655765,2025/09/01,-79.655765,43.626174
145,198,SOUTH MILLWAY at COUNCIL RING RD,0,1,1,0,1,13,ERIN MILLS,TRAFFIC ZONE 62,43.539403,-79.675934,2025/09/01,-79.675934,43.539403
146,199,SOUTH MILLWAY at COUNCIL RING RD,0,1,1,0,1,13,ERIN MILLS,TRAFFIC ZONE 62,43.539461,-79.676321,2025/09/01,-79.676321,43.5394610000001
