FID,NODE_ID,INT_DESC,INT_TYPE,ELEVATION,STATUS,OWNER,UTM_X,UTM_Y,CRTDT_GIS,UPDDT_GIS,x,y
64,2009541,ROSEWOOD AVE/UNNAMED UREC,ROAD,CONN,OPEN,MISS,614539.01,4823672.58,6/12/2013 3:18:09 PM,,-8859014.68457625,5397174.12016399
65,2009545,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,614499.11,4823672.41,6/12/2013 3:19:02 PM,,-8859069.66865867,5397174.81923409
66,2009547,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,616234.74,4826388.18,6/13/2013 7:55:10 AM,,-8856613.43833868,5400889.43146005
67,2009549,UNNAMED UEDU,ROAD,CONN,OPEN,PRIV,614827.32,4825340.82,6/13/2013 9:24:48 AM,6/13/2013 9:27:21 AM,-8858578.12366559,5399474.29414092
68,2009552,UNNAMED UREC,ROAD,CONN,OPEN,PRIV,614588.33,4823191.48,6/13/2013 9:37:15 AM,6/13/2013 9:38:58 AM,-8858958.03826928,5396507.75388714
69,2009553,PINETREE WAY/UNNAMED UREC,ROAD,CONN,OPEN,MISS,613148.98,4824670.83,6/13/2013 9:56:26 AM,,-8860906.75602953,5398587.1145477
70,2009557,UNNAMED UREC,RDEND,CONN,OPEN,PRIV,613192.76,4824721.91,6/13/2013 10:00:48 AM,,-8860845.23344436,5398656.73013597
71,2009558,LAKESHORE RD W/UNNAMED UREC,ROAD,CONN,OPEN,MISS,611643.37,4819653.45,6/13/2013 11:40:58 AM,,-8863096.45076927,5391685.75145088
72,2009561,LAKESHORE RD W/UNNAMED UREC,ROAD,CONN,OPEN,MISS,611611.44,4819611.97,6/13/2013 11:41:09 AM,,-8863141.37367732,5391629.16475671
73,349221,,,CONN,OPEN,PEEL,610976.72,4815406.04,11/8/2001 12:16:53 PM,,-8864110.93063327,5385833.20389883
74,349431,LAKESHORE RD W,WATER,BYPASS,OPEN,MISS,611272.43,4815803.4,11/8/2001 12:16:54 PM,,-8863694.93914808,5386375.25357529
75,349478,HAZELHURST RD/LAKESHORE RD W,ROAD,CONN,OPEN,MISS,611344.47,4815897.5,11/8/2001 12:16:54 PM,,-8863593.64508056,5386503.58045593
76,348531,WINSTON CHURCHILL BLVD,RAIL,CONN,OPEN,PEEL,609875.41,4816473.03,11/8/2001 12:16:50 PM,,-8865602.56046293,5387331.86390298
77,348261,ROYAL WINDSOR DR/WINSTON CHURCHILL BLVD,SIGNAL,CONN,OPEN,PEEL,609496.6,4816844.78,11/8/2001 12:16:50 PM,,-8866115.64333228,5387853.91279089
78,348158,WINSTON CHURCHILL BLVD,RAIL,BYPASS,OPEN,PEEL,609333.71,4817000.31,11/8/2001 12:16:49 PM,4/28/2016 2:32:47 PM,-8866336.37802716,5388072.42286813
79,350014,LAKESHORE RD W/SOUTHDOWN RD,ROAD,CONN,OPEN,MISS,612136.92,4817084.62,11/8/2001 12:16:56 PM,,-8862475.78796832,5388125.15758889
80,349961,SOUTHDOWN RD,SIGNAL,CONN,OPEN,MISS,612076.15,4817153.2,11/8/2001 12:16:56 PM,,-8862557.86651888,5388221.28907073
81,349945,SOUTHDOWN RD,ROAD,CONN,OPEN,MISS,612052.31,4817176.55,11/8/2001 12:16:56 PM,,-8862590.14508616,5388254.08810942
82,348039,WIDEMARR RD,RDEND,CONN,OPEN,MISS,609163.3,4817269.87,11/8/2001 12:16:49 PM,,-8866564.93488261,5388448.62636036
83,348002,UNNAMED URES,RDEND,CONN,OPEN,MISS,609113.42,4817283.91,11/8/2001 12:16:49 PM,,-8866633.28434556,5388469.13170401
84,347931,BROMSGROVE RD/WINSTON CHURCHILL BLVD,SIGNAL,CONN,OPEN,PEEL,609039.13,4817286.31,11/8/2001 12:16:49 PM,,-8866735.50037405,5388474.11671687
85,374442,UNNAMED URES,ROAD,CONN,OPEN,MISS,609125.28,4817355.24,3/3/2003 2:44:00 PM,,-8866615.36390354,5388567.40682124
86,374450,UNNAMED URES,RDEND,CONN,OPEN,MISS,609033.17,4817359.49,3/3/2003 2:47:40 PM,,-8866742.06804477,5388575.34958608
87,374434,BROMSGROVE RD/UNNAMED URES,ROAD,CONN,OPEN,MISS,609110.21,4817364.82,3/3/2003 2:15:02 PM,11/14/2007 2:19:09 PM,-8866635.89816108,5388580.98194494
88,348093,CRAMER ST/WIDEMARR RD,ROAD,CONN,OPEN,MISS,609233.78,4817373.07,11/8/2001 12:16:49 PM,,-8866465.612033,5388589.61050451
89,348027,UNNAMED URES,RDEND,CONN,OPEN,MISS,609137.96,4817374.04,11/8/2001 12:16:49 PM,,-8866597.498424,5388593.09065081
90,374446,UNNAMED URES,ROAD,CONN,OPEN,MISS,609094.68,4817374.48,3/3/2003 2:46:58 PM,,-8866657.06817473,5388594.67102772
91,374448,UNNAMED URES,RDEND,CONN,OPEN,MISS,609107.49,4817390.44,3/3/2003 2:47:18 PM,,-8866639.07605404,5388616.43676907
92,348038,BROMSGROVE RD/CRAMER ST,ROAD,CONN,OPEN,MISS,609157.84,4817438.57,11/8/2001 12:16:49 PM,,-8866568.68303194,5388681.80395963
93,347865,LUNDENE RD/SHERHILL DR,ROAD,CONN,OPEN,MISS,608955.8,4817467.63,11/8/2001 12:16:48 PM,,-8866846.17347815,5388726.47121925
94,347973,CRAMER ST/LUNDENE RD,ROAD,CONN,OPEN,MISS,609074.35,4817492.05,11/8/2001 12:16:49 PM,,-8866682.42505,5388757.54819024
95,347796,TALLBERG CRT,RDEND,CONN,OPEN,MISS,608880.31,4817546.23,11/8/2001 12:16:48 PM,12/17/2002 3:40:07 PM,-8866948.34546854,5388836.74162079
96,347711,STOCKHOLM RD/WINSTON CHURCHILL BLVD,ROAD,CONN,OPEN,PEEL,608761.95,4817554.47,11/8/2001 12:16:48 PM,,-8867111.08957345,5388850.77169412
97,347740,BUSHLAND CRES/STOCKHOLM RD,ROAD,CONN,OPEN,MISS,608807.86,4817613.27,11/8/2001 12:16:48 PM,,-8867046.5851907,5388930.9832251
98,348137,BROMSGROVE RD/WIDEMARR RD,ROAD,CONN,OPEN,MISS,609306.25,4817632.17,11/8/2001 12:16:49 PM,,-8866360.05400918,5388945.92782139
99,347840,CONSTABLE RD/TALLBERG CRT,ROAD,CONN,OPEN,MISS,608930.49,4817649.41,11/8/2001 12:16:48 PM,,-8866876.96377967,5388978.1760191
100,348073,LUNDENE RD/SHERHILL DR,ROAD,CONN,OPEN,MISS,609205.04,4817669.3,11/8/2001 12:16:49 PM,,-8866498.55311391,5388999.50101891
101,348170,BROMSGROVE RD/CONSTABLE RD/UNNAMED UEDU,ROAD,CONN,OPEN,MISS,609349.19,4817678.23,11/8/2001 12:16:49 PM,,-8866299.90938134,5389008.60732792
102,347780,CONSTABLE RD/STOCKHOLM RD,ROAD,CONN,OPEN,MISS,608865.7,4817686.84,11/8/2001 12:16:48 PM,,-8866965.324128,5389031.33653447
103,347892,CONSTABLE RD/HALKIRK CRT,ROAD,CONN,OPEN,MISS,608981.06,4817704.13,11/8/2001 12:16:48 PM,,-8866806.11579215,5389052.63733491
104,347654,BUSHLAND CRES/SEAVIEW DR,ALLWAY,CONN,OPEN,MISS,608678.45,4817738.68,11/8/2001 12:16:48 PM,,-8867221.9454825,5389107.13828712
105,348121,CONSTABLE RD/LUNDENE RD,ROAD,CONN,OPEN,MISS,609273.32,4817742.29,11/8/2001 12:16:49 PM,,-8866402.92468392,5389098.8117371
106,348199,BROMSGROVE RD/PLAYFORD RD,ROAD,CONN,OPEN,MISS,609414.03,4817747.45,11/8/2001 12:16:49 PM,,-8866209.09089624,5389102.77366685
107,347834,HALKIRK CRT,RDEND,CONN,OPEN,MISS,608928.77,4817755.02,11/8/2001 12:16:48 PM,12/17/2002 3:40:45 PM,-8866876.97187455,5389124.11806054
108,347943,BODLEY RD/CONSTABLE RD,ROAD,CONN,OPEN,MISS,609043.99,4817778.43,11/8/2001 12:16:49 PM,,-8866717.8302964,5389153.87745737
109,348168,PLAYFORD RD/SELORD CRT,ROAD,CONN,OPEN,MISS,609343.1,4817807.65,11/8/2001 12:16:49 PM,,-8866305.39180771,5389187.5375587
110,348768,AVONHEAD RD/ROYAL WINDSOR DR,SIGNAL,CONN,OPEN,MISS,610236.25,4817810.5,11/8/2001 12:16:51 PM,,-8865075.73236917,5389171.34475769
111,347519,TRUSCOTT DR/WINSTON CHURCHILL BLVD,SIGNAL,CONN,OPEN,PEEL,608494.06,4817814.65,11/8/2001 12:16:47 PM,,-8867474.10759346,5389216.20901532
112,348332,UNNAMED URES,ROAD,CONN,OPEN,MISS,609616.03,4817834.19,11/8/2001 12:16:50 PM,4/3/2003 2:32:22 PM,-8865929.05129259,5389218.07027213
113,349486,ORR RD/SOUTHDOWN RD,ROAD,CONN,OPEN,MISS,611351.92,4817869.9,11/8/2001 12:16:54 PM,,-8863538.4591587,5389228.02205541
114,348361,UNNAMED URES,ROAD,CONN,OPEN,MISS,609649.26,4817881.66,11/8/2001 12:16:50 PM,,-8865882.245255,5389282.90449619
115,347828,BODLEY RD/CONSTABLE RD,ROAD,CONN,OPEN,MISS,608919.32,4817894.37,11/8/2001 12:16:48 PM,,-8866886.87945632,5389316.84632381
116,348280,BROMSGROVE RD/TREDMORE DR/UNNAMED URES,ROAD,CONN,OPEN,MISS,609523.32,4817911.62,11/8/2001 12:16:50 PM,,-8866054.95198602,5389327.13715121
117,348160,SELORD CRT,RDEND,CONN,OPEN,MISS,609343.9,4817934.95,11/8/2001 12:16:49 PM,12/17/2002 3:38:44 PM,-8866301.44556443,5389363.40559326
118,377753,UNNAMED URES,RDEND,CONN,OPEN,MISS,609771.46,4817947.61,4/3/2003 2:37:04 PM,,-8865712.53150916,5389371.26282397
119,348309,UNNAMED URES,RDEND,CONN,OPEN,MISS,609574.46,4817953.32,11/8/2001 12:16:50 PM,4/3/2003 2:39:20 PM,-8865983.61034582,5389383.59357995
120,348424,UNNAMED URES,ROAD,CONN,OPEN,MISS,609741.89,4817955.17,11/8/2001 12:16:50 PM,4/3/2003 2:36:08 PM,-8865753.0629595,5389382.37836182
121,347774,BUSHLAND CRES/SEAVIEW DR,ROAD,CONN,OPEN,MISS,608856.53,4817969.95,11/8/2001 12:16:48 PM,,-8866971.63680646,5389422.67515343
122,348385,UNNAMED URES,ROAD,CONN,OPEN,MISS,609688.85,4817976.63,11/8/2001 12:16:50 PM,4/3/2003 2:37:21 PM,-8865825.60234599,5389413.22978902
123,349475,EMBASSY AVE,RDEND,CONN,OPEN,MISS,611340.38,4817988.26,11/8/2001 12:16:54 PM,7/11/2006 3:14:07 PM,-8863551.65034513,5389391.80838664
124,348203,BROOKHURST RD/TREDMORE DR,ROAD,CONN,OPEN,MISS,609418.63,4817993.52,11/8/2001 12:16:49 PM,,-8866197.2475744,5389442.63763525
125,350508,MEADOW WOOD LANE/WATERSEDGE RD,ROAD,CONN,OPEN,MISS,612943.06,4818008.46,11/8/2001 12:16:58 PM,11/13/2007 3:01:58 PM,-8861344.77143399,5389382.79639472
126,348041,HARMAN CRT,RDEND,CONN,OPEN,MISS,609164.92,4818011.4,11/8/2001 12:16:49 PM,12/17/2002 3:39:27 PM,-8866546.14173126,5389473.04345054
127,347939,CONSTABLE RD/SEAVIEW DR,ROAD,CONN,OPEN,MISS,609042.33,4818012.38,11/8/2001 12:16:49 PM,,-8866714.8957779,5389477.13786893
128,347541,BANWELL RD/SANDGATE CRES,ROAD,CONN,OPEN,MISS,608528.45,4818016.37,11/8/2001 12:16:47 PM,,-8867422.27794297,5389494.13182943
129,348322,BROMSGROVE RD/UNNAMED URES,ROAD,CONN,OPEN,MISS,609598.47,4818019.49,11/8/2001 12:16:50 PM,,-8865949.07216385,5389474.48117945
130,349453,CARRERA LANE/EMBASSY AVE,ROAD,CONN,OPEN,MISS,611301.88,4818025.27,11/8/2001 12:16:54 PM,,-8863603.81746369,5389443.82306666
131,347388,BENEDET DR/WINSTON CHURCHILL BLVD,SIGNAL,CONN,OPEN,PEEL,608271.91,4818028.93,11/8/2001 12:16:47 PM,,-8867775.19155187,5389517.20700413
132,347836,BUCKBY RD/SEAVIEW DR,ROAD,CONN,OPEN,MISS,608927.46,4818035.29,11/8/2001 12:16:48 PM,,-8866872.52413931,5389511.3705669
133,347648,LOCKHART RD/TRUSCOTT DR,ROAD,CONN,OPEN,MISS,608665.53,4818037.26,11/8/2001 12:16:48 PM,,-8867233.0945584,5389519.93769839
134,348345,BROMSGROVE RD/UNNAMED URES,ROAD,CONN,OPEN,MISS,609635.18,4818067.84,11/8/2001 12:16:50 PM,,-8865897.45565444,5389540.44507258
135,348248,BROOKHURST RD/KELLY RD,ROAD,CONN,OPEN,MISS,609482.49,4818069.47,11/8/2001 12:16:50 PM,,-8866107.62882406,5389546.14017076
136,348155,PLAYFORD RD/TREDMORE DR,ROAD,CONN,OPEN,MISS,609333.76,4818076.05,11/8/2001 12:16:49 PM,,-8866312.24794071,5389558.57799782
137,349395,EMBASSY AVE/SILVERBERRY CRES,ROAD,CONN,OPEN,MISS,611229.62,4818088.54,11/8/2001 12:16:54 PM,,-8863701.85324628,5389532.88870646
138,347993,CONSTABLE RD/ROCK CRT,ROAD,CONN,OPEN,MISS,609104.67,4818091.91,11/8/2001 12:16:49 PM,,-8866627.28961655,5389585.62338059
139,350500,COUNTRY CLUB CRES/WATERSEDGE RD,ROAD,CONN,OPEN,MISS,612934.67,4818093.77,11/8/2001 12:16:58 PM,11/13/2007 8:48:45 AM,-8861354.34997604,5389500.85426461
140,347592,LOCKHART RD/SANDGATE CRES,ROAD,CONN,OPEN,MISS,608589.91,4818095.71,11/8/2001 12:16:48 PM,,-8867335.89961331,5389602.38434648
141,347427,BENEDET DR/BIRCH CRES,ROAD,CONN,OPEN,MISS,608327.8,4818102.32,11/8/2001 12:16:47 PM,,-8867696.61766761,5389617.36078387
142,377758,UNNAMED URES,RDEND,CONN,OPEN,MISS,609837.06,4818102.98,4/3/2003 2:47:04 PM,11/13/2007 3:14:00 PM,-8865618.72156458,5389584.45168101
143,370865,MEADOW WOOD LANE,RDEND,CONN,OPEN,MISS,612845.44,4818106.62,11/27/2002 10:00:30 AM,11/27/2002 11:41:15 AM,-8861476.90038934,5389520.67142901
144,348369,BROMSGROVE RD/UNNAMED URES,ROAD,CONN,OPEN,MISS,609669.31,4818112.75,11/8/2001 12:16:50 PM,,-8865849.44820337,5389601.72516404
145,347479,BANWELL RD/SANDGATE CRES,ROAD,CONN,OPEN,MISS,608428.98,4818113.25,11/8/2001 12:16:47 PM,,-8867557.07674931,5389630.20968256
146,377755,UNNAMED URES,ROAD,CONN,OPEN,MISS,609812.08,4818113.55,4/3/2003 2:46:25 PM,11/13/2007 9:50:43 AM,-8865652.87520014,5389599.61907031
147,347950,ROCK CRT,RDEND,CONN,OPEN,MISS,609058.36,4818125.78,11/8/2001 12:16:49 PM,12/17/2002 3:41:27 PM,-8866690.29108512,5389633.45719825
148,347767,BUCKBY RD/TRUSCOTT DR,ROAD,CONN,OPEN,MISS,608850.73,4818135.68,11/8/2001 12:16:48 PM,,-8866975.92932466,5389651.78529487
149,347315,QUEEN ELIZABETH WAY/SOUTH SHERIDAN WAY/WINSTON CHURCHILL BLVD,ROAD,CONN,OPEN,PROV,608158.66,4818139.34,11/8/2001 12:16:47 PM,,-8867928.66578525,5389672.26624056
150,348115,HARMAN CRT/TREDMORE DR,ROAD,CONN,OPEN,MISS,609264.71,4818141.94,11/8/2001 12:16:49 PM,,-8866405.82931486,5389651.16010098
151,349605,INVERHOUSE DR/ORR RD,ROAD,CONN,OPEN,MISS,611565.14,4818149.59,11/8/2001 12:16:55 PM,,-8863238.54266721,5389609.55075149
152,370876,COUNTRY CLUB CRES,ROAD,CONN,OPEN,MISS,612871.5,4818151.96,11/27/2002 11:12:15 AM,11/27/2002 11:50:17 AM,-8861439.96720009,5389582.7173917
153,349358,EMBASSY AVE/SILVERBERRY CRES,ROAD,CONN,OPEN,MISS,611160.31,4818158.12,11/8/2001 12:16:54 PM,,-8863795.69834886,5389630.60372171
154,348401,BROMSGROVE RD/UNNAMED URES,ROAD,CONN,OPEN,MISS,609706.46,4818161.98,11/8/2001 12:16:50 PM,11/13/2007 3:13:13 PM,-8865797.20031442,5389668.91319582
